Id,date,TotalSleepRecords,TotalMinutesAsleep,SleepHours,TotalTimeInBed,InBedHours
2026352035,5/12/2016,1,456,7.6,485,8.1
4319703577,5/12/2016,1,302,5,321,5.4
4445114986,5/12/2016,1,483,8.1,501,8.4
4702921684,5/12/2016,1,404,6.7,442,7.4
5553957443,5/12/2016,1,438,7.3,475,7.9
6962181067,5/12/2016,1,516,8.6,535,8.9
7086361926,5/12/2016,1,444,7.4,457,7.6
8378563200,5/12/2016,1,496,8.3,546,9.1
1503960366,5/11/2016,1,285,4.8,306,5.1
2026352035,5/11/2016,1,523,8.7,553,9.2
4319703577,5/11/2016,1,529,8.8,558,9.3
4388161847,5/11/2016,1,469,7.8,494,8.2
4445114986,5/11/2016,1,499,8.3,530,8.8
4702921684,5/11/2016,1,354,5.9,366,6.1
5553957443,5/11/2016,1,463,7.7,486,8.1
5577150313,5/11/2016,1,431,7.2,476,7.9
6962181067,5/11/2016,1,452,7.5,480,8
7086361926,5/11/2016,1,451,7.5,463,7.7
8378563200,5/11/2016,1,368,6.1,387,6.5
1503960366,5/10/2016,1,383,6.4,403,6.7
2026352035,5/10/2016,1,357,6,380,6.3
3977333714,5/10/2016,1,312,5.2,452,7.5
4020332650,5/10/2016,1,442,7.4,494,8.2
4319703577,5/10/2016,1,487,8.1,517,8.6
4388161847,5/10/2016,1,354,5.9,375,6.3
4445114986,5/10/2016,1,405,6.8,426,7.1
4702921684,5/10/2016,1,416,6.9,431,7.2
5553957443,5/10/2016,1,418,7,443,7.4
5577150313,5/10/2016,1,504,8.4,562,9.4
6962181067,5/10/2016,1,469,7.8,481,8
8378563200,5/10/2016,1,342,5.7,391,6.5
1503960366,5/9/2016,1,338,5.6,342,5.7
2026352035,5/9/2016,1,531,8.9,556,9.3
4319703577,5/9/2016,1,535,8.9,565,9.4
4388161847,5/9/2016,1,62,1,65,1.1
4445114986,5/9/2016,1,457,7.6,533,8.9
4702921684,5/9/2016,1,435,7.3,458,7.6
5553957443,5/9/2016,1,453,7.6,494,8.2
6117666160,5/9/2016,1,492,8.2,522,8.7
6962181067,5/9/2016,1,489,8.2,497,8.3
7086361926,5/9/2016,1,427,7.1,438,7.3
